 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
   9985.02 | Supplier#000726786        | ETHIOPIA                  |  17976734 | Manufacturer#1            | ZmBi4,QlnL1ghE                           | 15-257-602-2594 |  furiously express accounts. slyly final requests detect among
   9984.93 | Supplier#000303173        | ETHIOPIA                  |   3553163 | Manufacturer#4            | WI7gFmPGqK6oXD8Nqn7                      | 15-214-170-6006 | lyly according to the busy deposits. qui
   9984.54 | Supplier#000975415        | KENYA                     |  18225360 | Manufacturer#2            | wxhyqmaMCuDfgvtAa                        | 24-490-387-2284 | ccording to the regular packages boost furiously across the regular requests. furiously unusua
   9983.79 | Supplier#000730819        | MOROCCO                   |    480818 | Manufacturer#3            | fJalOabONWbzPspkbYGvVJ                   | 25-727-515-7040 | furiously. regular requests wake p
   9983.79 | Supplier#000730819        | MOROCCO                   |   8480810 | Manufacturer#1            | fJalOabONWbzPspkbYGvVJ                   | 25-727-515-7040 | furiously. regular requests wake p
   9983.46 | Supplier#000578721        | KENYA                     |  11328709 | Manufacturer#1            | Bc5r1NeHMJQ5rmWMnn Y                     | 24-935-558-8358 | eans. unusual requests about 
   9983.39 | Supplier#000623696        | KENYA                     |   4123687 | Manufacturer#5            | pDutfnmYm6tTR8S                          | 24-338-786-1637 | s nag carefully according to the regular packages. carefully final accounts wake careful
   9983.38 | Supplier#000252750        | KENYA                     |  16502701 | Manufacturer#2            | xru,jQsag2DzmDyQty                       | 24-753-363-1036 | usual, even instructions haggle slyly; quickly ironic accou
   9982.51 | Supplier#000694257        | MOZAMBIQUE                |  13944217 | Manufacturer#2            | qo735Bnm7QQAd3tBU7BRTmA lNMmeVl          | 26-875-361-9804 | e sometimes. express, unusual instructions at the bold packages are furi
   9981.85 | Supplier#000141810        | ALGERIA                   |  18641773 | Manufacturer#1            | Z1Op, ,9DfIzhoVB                         | 10-243-859-8028 | requests. express pinto beans cajole closely ironic courts. furi
   9981.40 | Supplier#000410917        | MOROCCO                   |  15160901 | Manufacturer#1            | GY25XbvhdhqudGPkzEv                      | 25-409-806-9309 | its cajole. quickly ironic accounts sleep furiously regular excuses. even requests affix quickly ac
   9981.31 | Supplier#000010734        | KENYA                     |   3260724 | Manufacturer#2            | BeO3FRHV1cjJkubxg6k8Tn                   | 24-342-840-3453 | . theodolites wake about the express ideas. fluffily 
   9981.21 | Supplier#000438434        | MOZAMBIQUE                |  15938403 | Manufacturer#3            | 09sgwTtZdYrnnfxnP61aZh                   | 26-674-730-4399 | y regular deposits affix final accounts. permanently express courts above the sly
   9981.02 | Supplier#000310147        | KENYA                     |   6310146 | Manufacturer#4            | hMDK80RvWlHzsCWQJvXOh40MjCMu8ES9Q9NPFI   | 24-228-316-3420 | usual packages wake blithely above the ironic, unusual asymptotes. special, ir
   9979.95 | Supplier#000183601        | ETHIOPIA                  |  10183600 | Manufacturer#1            | LdK038W1KRT                              | 15-180-347-1857 | ar packages. regularly pending instructions cajo
   9979.91 | Supplier#000033721        | ETHIOPIA                  |  15783705 | Manufacturer#1            | egZ1,g7j3vSOhgrQ                         | 15-815-325-3603 |  final foxes haggle furiously. 
   9979.63 | Supplier#000278162        | KENYA                     |  19278161 | Manufacturer#5            | Kvv3IN864LvuEC3Jv0Yw2B6dQ51IZ3WcPv7Ky    | 24-708-484-5891 | e furiously. carefully even pinto beans accord
   9979.01 | Supplier#000645080        | ALGERIA                   |  13395066 | Manufacturer#1            | nIDaW7Ev8BVPxI0dB8ePt4BOGgNqiVKT,SVQL9F7 | 10-369-347-8276 | le furiously regular, final instructions. slyly ironic ins
   9978.94 | Supplier#000137274        | ALGERIA                   |    887273 | Manufacturer#5            | 67TjMencPqgh q0kZG                       | 10-655-105-1195 | etly regular deposits. bold pinto beans cajole fluffily blithe
   9978.94 | Supplier#000137274        | ALGERIA                   |   7887266 | Manufacturer#2            | 67TjMencPqgh q0kZG                       | 10-655-105-1195 | etly regular deposits. bold pinto beans cajole fluffily blithe
   9978.85 | Supplier#000068570        | KENYA                     |  19568531 | Manufacturer#1            | NjcKftct9NhSLhhdJYRfaQJaGnF8gf1qFimKzi   | 24-354-801-2738 | ular deposits hinder blithely according to the fluffily express packages. furiously bold excu
   9978.85 | Supplier#000136380        | MOZAMBIQUE                |   8886371 | Manufacturer#5            | ny7hl3Gci2e                              | 26-321-766-9006 | lyly. carefully slow packages haggle furio
   9978.78 | Supplier#000627777        | ALGERIA                   |   8627776 | Manufacturer#1            | UaxOolJMb1WbWJWdFSTv3VFwfn6LzccliH08YQ1  | 10-361-161-6901 | ggle slyly around the final, even packages. carefully regular r
   9978.78 | Supplier#000627777        | ALGERIA                   |   8877752 | Manufacturer#4            | UaxOolJMb1WbWJWdFSTv3VFwfn6LzccliH08YQ1  | 10-361-161-6901 | ggle slyly around the final, even packages. carefully regular r
   9978.13 | Supplier#000574890        | ALGERIA                   |  15824844 | Manufacturer#3            | bSL6mMjC9a5SOM                           | 10-282-491-3409 | as-- asymptotes nag fluffily even, ironic pinto beans. slyly bold platelet
   9978.11 | Supplier#000232731        | MOZAMBIQUE                |  18482676 | Manufacturer#3            | vQPG7nH7062lg 9zg1XfKPuJqTiC             | 26-111-483-1692 | ly regular ideas are fluffily; bold, final requests haggle furiously across the dinos. carefully b
   9978.05 | Supplier#000798983        | KENYA                     |  18798982 | Manufacturer#4            | Qqn4any2y0w098GHDxQBU31kNneyyBv2B9       | 24-534-941-3320 | uld have to run blithely-- b
   9977.89 | Supplier#000451434        | ETHIOPIA                  |  19951395 | Manufacturer#3            | VzlNCov5XjX                              | 15-248-914-9671 | lphins. carefully express deposits boost. quickly express requests doubt ca
   9977.85 | Supplier#000228723        | ETHIOPIA                  |  15478677 | Manufacturer#5            | DnXlH3xvwRn7vPe844nUY,                   | 15-607-576-4487 |  the slyly regular packages.
   9977.85 | Supplier#000228723        | ETHIOPIA                  |  15978707 | Manufacturer#3            | DnXlH3xvwRn7vPe844nUY,                   | 15-607-576-4487 |  the slyly regular packages.
   9977.28 | Supplier#000171996        | MOROCCO                   |  18921977 | Manufacturer#1            | o05fIQPyGilIt6                           | 25-912-181-9439 | nst the slyly ironic accounts. quickly silent platelets alongside
   9977.11 | Supplier#000544745        | MOROCCO                   |  15544744 | Manufacturer#2            | K4FKure0iQbW8UatlCmzCPKO7cSsjBjT         | 25-555-763-7688 | pecial instructions cajol
   9976.65 | Supplier#000465307        | MOROCCO                   |   6215300 | Manufacturer#4            | o1fvx27MxhTZGCV6p                        | 25-656-794-6994 | yly toward the blithely express
   9976.45 | Supplier#000019491        | ETHIOPIA                  |  13519464 | Manufacturer#4            | 3v1wWC30BmxuLo                           | 15-476-916-1303 | efully special requests along the furiously even request
   9976.45 | Supplier#000019491        | ETHIOPIA                  |  16019490 | Manufacturer#2            | 3v1wWC30BmxuLo                           | 15-476-916-1303 | efully special requests along the furiously even request
   9976.40 | Supplier#000414080        | MOZAMBIQUE                |   4914071 | Manufacturer#2            | ydGFM1WGUY0XkY                           | 26-503-983-7045 | ly regular requests affix slyly ironically ironic requests-- busily final deposits above 
   9976.13 | Supplier#000359226        | ETHIOPIA                  |   6859213 | Manufacturer#4            | 6ZE107jIPNXPNzKyjETwU57CWsKpSrDkQ8NXSVF  | 15-782-125-8957 | grate about the requests. unusual asym
   9976.05 | Supplier#000971228        | ALGERIA                   |  12971227 | Manufacturer#4            | grgqZc0yfxeguFQ2PNJ ZYVxXG               | 10-795-428-8894 | ular dependencies. fluffily careful packages cajole furio
   9976.04 | Supplier#000237937        | MOZAMBIQUE                |  16987920 | Manufacturer#5            | LVpgCwwi65nS                             | 26-917-695-3943 |  decoys was quickly about the regular pinto beans
   9975.97 | Supplier#000631242        | MOZAMBIQUE                |   1131239 | Manufacturer#1            | bGNDx7k jvdSrAb68VSjQ                    | 26-355-667-1559 |  alongside of the unusual package
   9975.84 | Supplier#000210545        | ETHIOPIA                  |   6710532 | Manufacturer#1            | NoDJCoY0L6bPObG0a9kFx                    | 15-421-291-2301 | sual warthogs nag across the sly
   9975.02 | Supplier#000891676        | MOZAMBIQUE                |  17391641 | Manufacturer#4            | tXKd5MCDEtpJxFwYBsZ,QpSaD                | 26-264-117-6198 | onic, ironic requests cajole slyly final platelets. quickly express pinto beans dazzle quickly. 
   9974.88 | Supplier#000228589        | KENYA                     |  15478543 | Manufacturer#2            | Fk84in3CAVCZwNFg8pNSVg5Aibip98PgKer      | 24-481-691-7400 | slyly ironic foxes after the carefully ironic requests haggle throughout the blithely even 
   9974.84 | Supplier#000654014        | KENYA                     |   7654013 | Manufacturer#2            | 2cQEwCtCe9qXettG5m,CYIF1HU17UEpN0AkSBIM3 | 24-731-179-5032 | cial foxes detect carefully against 
   9974.76 | Supplier#000923632        | ETHIOPIA                  |   1923631 | Manufacturer#3            | mSlWUFyRFe6r3pn3JX                       | 15-569-517-4929 | unusual requests sleep idly requests. ironic excuses shall have to beli
(100 rows)

COMMIT
