  p_brand   |          p_type           | p_size | supplier_cnt 
 Brand#53   | SMALL BURNISHED BRASS     |      5 |          548
 Brand#54   | ECONOMY BRUSHED BRASS     |     10 |          548
 Brand#14   | PROMO BURNISHED TIN       |     46 |          547
 Brand#22   | ECONOMY POLISHED BRASS    |     21 |          547
 Brand#22   | MEDIUM ANODIZED NICKEL    |      3 |          547
 Brand#32   | PROMO PLATED NICKEL       |     21 |          547
 Brand#34   | PROMO PLATED BRASS        |     27 |          547
 Brand#54   | PROMO ANODIZED TIN        |     27 |          547
 Brand#43   | ECONOMY ANODIZED BRASS    |     24 |          546
 Brand#55   | ECONOMY PLATED STEEL      |     15 |          546
 Brand#13   | ECONOMY PLATED TIN        |     10 |          544
 Brand#13   | SMALL POLISHED STEEL      |     46 |          544
 Brand#14   | PROMO BURNISHED BRASS     |     15 |          544
 Brand#14   | PROMO POLISHED NICKEL     |     46 |          544
 Brand#21   | SMALL ANODIZED TIN        |     46 |          544
 Brand#22   | ECONOMY BRUSHED BRASS     |     46 |          544
 Brand#23   | PROMO BRUSHED TIN         |      5 |          544
 Brand#24   | MEDIUM BRUSHED BRASS      |     21 |          544
 Brand#25   | LARGE PLATED COPPER       |     24 |          544
 Brand#32   | SMALL BRUSHED NICKEL      |      3 |          544
 Brand#32   | STANDARD ANODIZED STEEL   |     21 |          544
 Brand#41   | PROMO BRUSHED BRASS       |      5 |          544
 Brand#41   | SMALL PLATED STEEL        |      5 |          544
 Brand#43   | LARGE BURNISHED TIN       |      5 |          544
 Brand#43   | STANDARD PLATED COPPER    |     27 |          544
 Brand#44   | STANDARD BRUSHED COPPER   |     46 |          544
 Brand#51   | PROMO POLISHED NICKEL     |      3 |          544
 Brand#55   | MEDIUM PLATED TIN         |     10 |          544
 Brand#13   | ECONOMY POLISHED NICKEL   |     24 |          543
 Brand#14   | LARGE BURNISHED STEEL     |      5 |          543
 Brand#23   | MEDIUM POLISHED COPPER    |     15 |          543
 Brand#31   | SMALL PLATED STEEL        |     15 |          543
 Brand#32   | PROMO BURNISHED NICKEL    |     15 |          543
 Brand#43   | ECONOMY BURNISHED STEEL   |     10 |          543
 Brand#44   | STANDARD BURNISHED NICKEL |     27 |          543
 Brand#35   | STANDARD BRUSHED TIN      |     10 |          542
 Brand#42   | PROMO ANODIZED COPPER     |      5 |          542
 Brand#11   | MEDIUM POLISHED TIN       |     10 |          540
 Brand#14   | ECONOMY ANODIZED STEEL    |     10 |          540
 Brand#14   | MEDIUM BURNISHED STEEL    |     27 |          540
 Brand#21   | ECONOMY BURNISHED STEEL   |     15 |          540
 Brand#21   | PROMO PLATED TIN          |     24 |          540
 Brand#22   | MEDIUM BURNISHED NICKEL   |      3 |          540
 Brand#23   | LARGE BURNISHED NICKEL    |     10 |          540
 Brand#24   | ECONOMY BURNISHED STEEL   |     15 |          540
 Brand#25   | ECONOMY POLISHED STEEL    |     27 |          540
 Brand#31   | MEDIUM BURNISHED STEEL    |     15 |          540
 Brand#31   | PROMO PLATED STEEL        |     27 |          540
 Brand#41   | STANDARD BURNISHED BRASS  |      5 |          540
 Brand#42   | SMALL BRUSHED TIN         |     46 |          540
 Brand#43   | SMALL PLATED NICKEL       |     10 |          540
 Brand#43   | STANDARD BURNISHED BRASS  |      3 |          540
 Brand#51   | ECONOMY BRUSHED TIN       |     24 |          540
 Brand#51   | ECONOMY PLATED BRASS      |     21 |          540
 Brand#51   | LARGE PLATED TIN          |     46 |          540
 Brand#51   | PROMO ANODIZED COPPER     |     27 |          540
 Brand#52   | STANDARD BURNISHED STEEL  |     27 |          540
 Brand#55   | MEDIUM BRUSHED BRASS      |      5 |          540
 Brand#11   | ECONOMY PLATED STEEL      |     15 |          539
 Brand#23   | SMALL BRUSHED BRASS       |     10 |          539
 Brand#25   | LARGE BURNISHED BRASS     |     46 |          539
 Brand#31   | MEDIUM ANODIZED TIN       |     15 |          539
 Brand#32   | ECONOMY PLATED BRASS      |     27 |          539
 Brand#32   | SMALL POLISHED BRASS      |     24 |          539
 Brand#42   | SMALL ANODIZED BRASS      |      3 |          539
 Brand#42   | STANDARD PLATED COPPER    |     15 |          539
 Brand#55   | SMALL BRUSHED STEEL       |     24 |          538
 Brand#11   | LARGE PLATED STEEL        |     46 |          536
 Brand#11   | STANDARD BRUSHED TIN      |      5 |          536
 Brand#13   | SMALL BURNISHED BRASS     |     27 |          536
 Brand#14   | PROMO ANODIZED TIN        |      3 |          536
 Brand#21   | LARGE ANODIZED COPPER     |     10 |          536
 Brand#22   | MEDIUM PLATED BRASS       |     10 |          536
 Brand#24   | PROMO ANODIZED BRASS      |     27 |          536
 Brand#31   | STANDARD POLISHED NICKEL  |     10 |          536
 Brand#32   | SMALL ANODIZED STEEL      |     27 |          536
 Brand#33   | ECONOMY BRUSHED NICKEL    |     21 |          536
 Brand#33   | ECONOMY PLATED COPPER     |     27 |          536
 Brand#35   | ECONOMY ANODIZED BRASS    |      3 |          536
 Brand#35   | MEDIUM BRUSHED NICKEL     |      5 |          536
 Brand#41   | SMALL POLISHED STEEL      |     10 |          536
 Brand#43   | PROMO PLATED TIN          |     15 |          536
 Brand#43   | STANDARD BURNISHED BRASS  |     10 |          536
 Brand#44   | SMALL PLATED NICKEL       |     21 |          536
 Brand#45   | MEDIUM ANODIZED COPPER    |     27 |          536
 Brand#45   | MEDIUM PLATED BRASS       |     10 |          536
 Brand#52   | ECONOMY BRUSHED BRASS     |     46 |          536
 Brand#52   | MEDIUM BURNISHED BRASS    |     24 |          536
 Brand#52   | MEDIUM PLATED STEEL       |     24 |          536
 Brand#53   | LARGE PLATED NICKEL       |     24 |          536
 Brand#53   | MEDIUM ANODIZED BRASS     |     24 |          536
 Brand#53   | PROMO PLATED BRASS        |     15 |          536
 Brand#54   | SMALL BURNISHED COPPER    |      5 |          536
 Brand#14   | ECONOMY ANODIZED COPPER   |     27 |          535
 Brand#14   | STANDARD BURNISHED STEEL  |     10 |          535
 Brand#15   | STANDARD ANODIZED TIN     |     24 |          535
 Brand#21   | STANDARD ANODIZED BRASS   |     21 |          535
 Brand#32   | ECONOMY BRUSHED NICKEL    |     46 |          535
 Brand#35   | PROMO ANODIZED COPPER     |     46 |          535
 Brand#51   | PROMO POLISHED COPPER     |     27 |          535
 Brand#52   | ECONOMY ANODIZED BRASS    |      5 |          535
 Brand#52   | PROMO POLISHED STEEL      |      3 |          535
 Brand#52   | STANDARD BRUSHED NICKEL   |     21 |          535
 Brand#55   | STANDARD ANODIZED BRASS   |     24 |          535
 Brand#55   | STANDARD BRUSHED STEEL    |     46 |          535
 Brand#11   | SMALL PLATED COPPER       |     46 |          532
 Brand#14   | STANDARD POLISHED BRASS   |      3 |          532
 Brand#15   | MEDIUM BRUSHED STEEL      |     27 |          532
 Brand#21   | STANDARD POLISHED BRASS   |     24 |          532
 Brand#22   | LARGE ANODIZED STEEL      |     27 |          532
 Brand#22   | SMALL BURNISHED STEEL     |     24 |          532
 Brand#24   | SMALL POLISHED NICKEL     |     46 |          532
 Brand#25   | ECONOMY BURNISHED COPPER  |      5 |          532
 Brand#32   | MEDIUM BRUSHED NICKEL     |     15 |          532
 Brand#32   | MEDIUM BRUSHED STEEL      |     46 |          532
 Brand#35   | ECONOMY PLATED STEEL      |     27 |          532
 Brand#35   | ECONOMY POLISHED TIN      |     15 |          532
 Brand#35   | PROMO ANODIZED COPPER     |     27 |          532
 Brand#35   | SMALL PLATED STEEL        |      3 |          532
 Brand#35   | SMALL PLATED TIN          |     15 |          532
 Brand#43   | STANDARD ANODIZED STEEL   |      3 |          532
 Brand#44   | LARGE ANODIZED BRASS      |     27 |          532
 Brand#51   | PROMO ANODIZED COPPER     |     15 |          532
 Brand#51   | SMALL POLISHED COPPER     |     27 |          532
 Brand#52   | MEDIUM BURNISHED COPPER   |      3 |          532
 Brand#53   | MEDIUM BRUSHED STEEL      |     46 |          532
 Brand#55   | ECONOMY BURNISHED NICKEL  |     15 |          532
 Brand#55   | MEDIUM BRUSHED STEEL      |     10 |          532
 Brand#55   | STANDARD POLISHED COPPER  |     21 |          532
 Brand#11   | ECONOMY ANODIZED STEEL    |     10 |          531
 Brand#14   | PROMO POLISHED BRASS      |      3 |          531
 Brand#23   | ECONOMY POLISHED BRASS    |     15 |          531
 Brand#23   | LARGE BURNISHED NICKEL    |     21 |          531
 Brand#25   | SMALL POLISHED NICKEL     |      5 |          531
 Brand#31   | PROMO ANODIZED STEEL      |     27 |          531
 Brand#31   | PROMO BURNISHED BRASS     |     24 |          531
 Brand#31   | STANDARD POLISHED TIN     |     46 |          531
 Brand#33   | MEDIUM PLATED BRASS       |      5 |          531
 Brand#34   | MEDIUM PLATED TIN         |     46 |          531
 Brand#42   | ECONOMY BURNISHED BRASS   |     15 |          531
 Brand#42   | MEDIUM PLATED STEEL       |      3 |          531
 Brand#42   | SMALL PLATED BRASS        |     27 |          531
 Brand#55   | LARGE BRUSHED NICKEL      |      3 |          531
 Brand#24   | ECONOMY ANODIZED COPPER   |      5 |          530
 Brand#11   | LARGE PLATED COPPER       |     27 |          528
 Brand#13   | MEDIUM BRUSHED TIN        |     24 |          528
 Brand#14   | STANDARD PLATED COPPER    |      5 |          528
 Brand#15   | ECONOMY BURNISHED STEEL   |     15 |          528
 Brand#15   | LARGE BURNISHED COPPER    |      3 |          528
 Brand#15   | SMALL ANODIZED COPPER     |     46 |          528
 Brand#21   | ECONOMY POLISHED STEEL    |     15 |          528
 Brand#21   | LARGE BRUSHED NICKEL      |      3 |          528
 Brand#21   | MEDIUM POLISHED STEEL     |     46 |          528
 Brand#22   | STANDARD PLATED NICKEL    |     21 |          528
 Brand#24   | ECONOMY PLATED STEEL      |     24 |          528
 Brand#24   | LARGE BRUSHED TIN         |     24 |          528
 Brand#25   | SMALL BRUSHED NICKEL      |     21 |          528
 Brand#25   | STANDARD BURNISHED NICKEL |      5 |          528
 Brand#31   | ECONOMY POLISHED STEEL    |      5 |          528
 Brand#32   | ECONOMY PLATED COPPER     |     27 |          528
 Brand#32   | MEDIUM BRUSHED STEEL      |      5 |          528
 Brand#33   | ECONOMY ANODIZED STEEL    |     24 |          528
 Brand#33   | LARGE PLATED COPPER       |     10 |          528
 Brand#33   | PROMO ANODIZED NICKEL     |     24 |          528
 Brand#33   | SMALL PLATED TIN          |     24 |          528
 Brand#34   | LARGE PLATED BRASS        |     10 |          528
 Brand#35   | LARGE ANODIZED COPPER     |      5 |          528
 Brand#35   | STANDARD ANODIZED STEEL   |      5 |          528
 Brand#35   | STANDARD POLISHED COPPER  |      5 |          528
 Brand#41   | SMALL BURNISHED COPPER    |     46 |          528
 Brand#41   | STANDARD ANODIZED NICKEL  |     10 |          528
 Brand#42   | ECONOMY POLISHED NICKEL   |      3 |          528
 Brand#43   | ECONOMY BURNISHED NICKEL  |     27 |          528
 Brand#43   | SMALL BURNISHED STEEL     |     15 |          528
 Brand#44   | SMALL POLISHED NICKEL     |     24 |          528
 Brand#45   | MEDIUM POLISHED TIN       |     10 |          528
 Brand#53   | STANDARD POLISHED COPPER  |     46 |          528
 Brand#54   | LARGE BRUSHED NICKEL      |     46 |          528
 Brand#54   | STANDARD BRUSHED STEEL    |     10 |          528
 Brand#55   | ECONOMY BRUSHED TIN       |     27 |          528
 Brand#55   | SMALL BURNISHED COPPER    |     27 |          528
 Brand#11   | ECONOMY PLATED STEEL      |     27 |          527
 Brand#13   | LARGE PLATED STEEL        |      3 |          527
 Brand#13   | MEDIUM ANODIZED TIN       |     21 |          527
 Brand#15   | SMALL PLATED COPPER       |     46 |          527
 Brand#25   | ECONOMY BURNISHED NICKEL  |     46 |          527
 Brand#25   | PROMO BURNISHED TIN       |     15 |          527
 Brand#25   | SMALL BRUSHED STEEL       |      3 |          527
 Brand#31   | LARGE BRUSHED COPPER      |      5 |          527
 Brand#35   | ECONOMY BRUSHED TIN       |     46 |          527
 Brand#35   | MEDIUM ANODIZED STEEL     |     15 |          527
 Brand#35   | STANDARD ANODIZED NICKEL  |     10 |          527
 Brand#41   | ECONOMY POLISHED STEEL    |      5 |          527
 Brand#41   | MEDIUM PLATED NICKEL      |      5 |          527
 Brand#42   | SMALL POLISHED NICKEL     |     10 |          527
 Brand#43   | ECONOMY PLATED TIN        |     24 |          527
 Brand#43   | SMALL BURNISHED TIN       |     10 |          527
 Brand#51   | STANDARD PLATED COPPER    |     24 |          527
 Brand#51   | STANDARD POLISHED BRASS   |     46 |          527
 Brand#53   | LARGE ANODIZED BRASS      |     24 |          527
 Brand#22   | PROMO PLATED COPPER       |      5 |          526
 Brand#31   | MEDIUM ANODIZED COPPER    |     15 |          526
 Brand#32   | ECONOMY BRUSHED NICKEL    |      3 |          526
 Brand#34   | ECONOMY PLATED STEEL      |     27 |          526
 Brand#11   | ECONOMY ANODIZED STEEL    |     46 |          524
 Brand#11   | MEDIUM BRUSHED COPPER     |      5 |          524
 Brand#13   | MEDIUM ANODIZED NICKEL    |     24 |          524
 Brand#13   | MEDIUM BURNISHED COPPER   |      3 |          524
 Brand#14   | ECONOMY ANODIZED COPPER   |     46 |          524
 Brand#14   | MEDIUM PLATED BRASS       |     46 |          524
 Brand#15   | SMALL BURNISHED STEEL     |     24 |          524
 Brand#15   | SMALL PLATED BRASS        |     21 |          524
 Brand#21   | PROMO BRUSHED NICKEL      |      5 |          524
 Brand#23   | SMALL ANODIZED BRASS      |      3 |          524
 Brand#23   | SMALL BURNISHED STEEL     |     21 |          524
 Brand#24   | ECONOMY POLISHED COPPER   |      5 |          524
 Brand#25   | LARGE PLATED STEEL        |     10 |          524
 Brand#25   | STANDARD ANODIZED NICKEL  |      5 |          524
 Brand#31   | ECONOMY PLATED STEEL      |     21 |          524
 Brand#31   | LARGE BURNISHED COPPER    |     21 |          524
 Brand#32   | SMALL BURNISHED TIN       |      5 |          524
 Brand#32   | STANDARD BURNISHED STEEL  |     46 |          524
 Brand#33   | ECONOMY BRUSHED BRASS     |     46 |          524
 Brand#33   | STANDARD ANODIZED NICKEL  |     15 |          524
 Brand#34   | LARGE ANODIZED NICKEL     |     27 |          524
 Brand#34   | PROMO POLISHED STEEL      |     15 |          524
 Brand#34   | SMALL BRUSHED COPPER      |     10 |          524
 Brand#34   | STANDARD POLISHED BRASS   |     46 |          524
 Brand#35   | SMALL ANODIZED TIN        |     24 |          524
 Brand#41   | PROMO POLISHED BRASS      |     27 |          524
 Brand#41   | STANDARD ANODIZED STEEL   |     27 |          524
 Brand#42   | STANDARD ANODIZED BRASS   |     10 |          524
 Brand#43   | ECONOMY PLATED COPPER     |     10 |          524
 Brand#43   | SMALL POLISHED NICKEL     |     10 |          524
 Brand#44   | MEDIUM ANODIZED TIN       |      5 |          524
 Brand#44   | MEDIUM PLATED STEEL       |     46 |          524
 Brand#44   | SMALL ANODIZED STEEL      |     24 |          524
 Brand#44   | STANDARD BURNISHED TIN    |     15 |          524
 Brand#45   | ECONOMY BURNISHED TIN     |     10 |          524
 Brand#45   | LARGE BURNISHED BRASS     |     10 |          524
 Brand#45   | MEDIUM PLATED BRASS       |     27 |          524
 Brand#51   | MEDIUM PLATED BRASS       |     10 |          524
 Brand#51   | MEDIUM POLISHED NICKEL    |     10 |          524
 Brand#51   | SMALL ANODIZED COPPER     |     27 |          524
 Brand#52   | ECONOMY BRUSHED NICKEL    |     21 |          524
 Brand#53   | LARGE BURNISHED STEEL     |     46 |          524
 Brand#53   | MEDIUM BRUSHED BRASS      |     10 |          524
 Brand#53   | STANDARD PLATED STEEL     |     46 |          524
 Brand#55   | ECONOMY BURNISHED COPPER  |     15 |          524
 Brand#55   | MEDIUM ANODIZED COPPER    |      3 |          524
 Brand#11   | ECONOMY BRUSHED BRASS     |      5 |          523
 Brand#11   | PROMO BURNISHED NICKEL    |     10 |          523
 Brand#13   | MEDIUM POLISHED BRASS     |     21 |          523
 Brand#14   | LARGE ANODIZED STEEL      |     24 |          523
 Brand#14   | STANDARD PLATED STEEL     |     21 |          523
 Brand#14   | STANDARD POLISHED COPPER  |     10 |          523
 Brand#21   | LARGE BURNISHED BRASS     |      5 |          523
 Brand#21   | LARGE BURNISHED TIN       |     10 |          523
 Brand#22   | SMALL BURNISHED NICKEL    |      5 |          523
 Brand#23   | STANDARD BURNISHED BRASS  |      3 |          523
 Brand#24   | ECONOMY ANODIZED STEEL    |     24 |          523
 Brand#24   | MEDIUM PLATED BRASS       |      3 |          523
 Brand#25   | ECONOMY ANODIZED TIN      |      3 |          523
 Brand#25   | LARGE BURNISHED STEEL     |     21 |          523
 Brand#33   | MEDIUM BRUSHED STEEL      |      5 |          523
 Brand#33   | MEDIUM POLISHED BRASS     |     24 |          523
 Brand#35   | ECONOMY BURNISHED STEEL   |     27 |          523
 Brand#41   | SMALL BURNISHED COPPER    |     21 |          523
 Brand#42   | SMALL ANODIZED NICKEL     |     27 |          523
 Brand#43   | SMALL POLISHED COPPER     |      3 |          523
 Brand#45   | STANDARD PLATED COPPER    |     21 |          523
 Brand#52   | LARGE ANODIZED NICKEL     |     27 |          523
 Brand#52   | PROMO BRUSHED STEEL       |     27 |          523
 Brand#52   | SMALL BRUSHED STEEL       |     24 |          523
 Brand#53   | ECONOMY BRUSHED COPPER    |     24 |          523
 Brand#53   | ECONOMY PLATED STEEL      |     21 |          523
 Brand#55   | STANDARD POLISHED BRASS   |     24 |          523
 Brand#14   | PROMO POLISHED COPPER     |     21 |          522
 Brand#21   | LARGE ANODIZED COPPER     |     21 |          522
 Brand#41   | MEDIUM BRUSHED STEEL      |     27 |          522
 Brand#53   | SMALL POLISHED STEEL      |     24 |          522
 Brand#22   | PROMO PLATED STEEL        |     27 |          521
 Brand#13   | ECONOMY PLATED BRASS      |      3 |          520
 Brand#13   | PROMO PLATED BRASS        |     27 |          520
 Brand#13   | STANDARD ANODIZED COPPER  |     24 |          520
 Brand#14   | ECONOMY POLISHED BRASS    |      5 |          520
 Brand#14   | MEDIUM POLISHED STEEL     |     24 |          520
 Brand#14   | SMALL PLATED COPPER       |      5 |          520
 Brand#15   | LARGE PLATED COPPER       |     10 |          520
 Brand#15   | PROMO BURNISHED TIN       |      5 |          520
 Brand#21   | PROMO ANODIZED STEEL      |     10 |          520
 Brand#22   | ECONOMY BRUSHED NICKEL    |      5 |          520
 Brand#22   | LARGE PLATED COPPER       |     27 |          520
 Brand#22   | MEDIUM BURNISHED TIN      |     10 |          520
 Brand#23   | LARGE PLATED STEEL        |      3 |          520
 Brand#23   | SMALL BURNISHED BRASS     |     15 |          520
 Brand#24   | PROMO ANODIZED COPPER     |     21 |          520
 Brand#24   | SMALL ANODIZED TIN        |     27 |          520
 Brand#25   | PROMO ANODIZED BRASS      |     10 |          520
 Brand#25   | PROMO POLISHED BRASS      |     27 |          520
 Brand#31   | STANDARD BURNISHED STEEL  |     21 |          520
 Brand#32   | LARGE BRUSHED COPPER      |     24 |          520
 Brand#32   | LARGE BURNISHED TIN       |     24 |          520
 Brand#33   | PROMO BRUSHED STEEL       |     21 |          520
 Brand#34   | ECONOMY BRUSHED NICKEL    |     46 |          520
 Brand#34   | MEDIUM PLATED BRASS       |     15 |          520
 Brand#34   | SMALL POLISHED NICKEL     |     21 |          520
 Brand#35   | ECONOMY BURNISHED TIN     |     46 |          520
 Brand#35   | LARGE BURNISHED NICKEL    |      3 |          520
 Brand#35   | PROMO BURNISHED BRASS     |     21 |          520
 Brand#35   | SMALL BURNISHED STEEL     |     46 |          520
 Brand#35   | STANDARD BRUSHED TIN      |     15 |          520
 Brand#41   | MEDIUM ANODIZED NICKEL    |      5 |          520
 Brand#41   | MEDIUM POLISHED TIN       |     10 |          520
 Brand#42   | LARGE PLATED NICKEL       |      5 |          520
 Brand#42   | MEDIUM BURNISHED NICKEL   |      3 |          520
 Brand#42   | PROMO BRUSHED STEEL       |     10 |          520
 Brand#43   | ECONOMY BRUSHED STEEL     |      3 |          520
 Brand#43   | PROMO BRUSHED BRASS       |     15 |          520
 Brand#43   | SMALL ANODIZED BRASS      |     24 |          520
 Brand#45   | ECONOMY POLISHED COPPER   |      3 |          520
 Brand#45   | LARGE PLATED STEEL        |     27 |          520
 Brand#45   | MEDIUM BURNISHED STEEL    |     27 |          520
 Brand#45   | PROMO BURNISHED STEEL     |     24 |          520
 Brand#45   | SMALL BRUSHED NICKEL      |      5 |          520
 Brand#51   | LARGE BRUSHED STEEL       |      3 |          520
 Brand#51   | SMALL BRUSHED TIN         |     15 |          520
 Brand#52   | ECONOMY BRUSHED NICKEL    |      3 |          520
 Brand#52   | ECONOMY BURNISHED BRASS   |      3 |          520
 Brand#52   | ECONOMY BURNISHED COPPER  |     27 |          520
 Brand#52   | STANDARD BRUSHED NICKEL   |     10 |          520
 Brand#53   | ECONOMY BURNISHED TIN     |      5 |          520
 Brand#53   | ECONOMY PLATED STEEL      |     46 |          520
 Brand#53   | LARGE PLATED TIN          |      5 |          520
 Brand#53   | PROMO BURNISHED TIN       |     10 |          520
 Brand#53   | STANDARD BRUSHED COPPER   |      3 |          520
 Brand#54   | ECONOMY ANODIZED NICKEL   |     24 |          520
 Brand#54   | ECONOMY PLATED COPPER     |     21 |          520
 Brand#54   | SMALL BURNISHED STEEL     |     10 |          520
 Brand#54   | STANDARD PLATED STEEL     |     24 |          520
 Brand#55   | ECONOMY BRUSHED COPPER    |     24 |          520
 Brand#55   | ECONOMY BRUSHED TIN       |     46 |          520
 Brand#55   | ECONOMY BURNISHED NICKEL  |      5 |          520
 Brand#55   | SMALL PLATED NICKEL       |     21 |          520
 Brand#11   | LARGE ANODIZED TIN        |     10 |          519
 Brand#14   | STANDARD PLATED STEEL     |     10 |          519
 Brand#15   | ECONOMY ANODIZED NICKEL   |     21 |          519
 Brand#15   | MEDIUM BRUSHED BRASS      |      5 |          519
 Brand#15   | MEDIUM PLATED TIN         |     21 |          519
 Brand#15   | PROMO BRUSHED NICKEL      |     24 |          519
 Brand#24   | ECONOMY POLISHED STEEL    |     27 |          519
 Brand#24   | PROMO BURNISHED NICKEL    |      3 |          519
 Brand#24   | SMALL BURNISHED BRASS     |      3 |          519
 Brand#24   | STANDARD POLISHED NICKEL  |      3 |          519
 Brand#34   | MEDIUM ANODIZED BRASS     |      5 |          519
 Brand#34   | STANDARD PLATED STEEL     |     24 |          519
 Brand#42   | MEDIUM PLATED TIN         |     27 |          519
 Brand#44   | PROMO ANODIZED STEEL      |     27 |          519
 Brand#44   | PROMO POLISHED STEEL      |     24 |          519
 Brand#45   | LARGE ANODIZED NICKEL     |      5 |          519
 Brand#45   | MEDIUM PLATED NICKEL      |      5 |          519
 Brand#53   | ECONOMY POLISHED COPPER   |     46 |          519
 Brand#54   | ECONOMY BURNISHED NICKEL  |     46 |          519
 Brand#55   | SMALL BURNISHED STEEL     |     15 |          519
 Brand#22   | PROMO PLATED COPPER       |     21 |          518
 Brand#24   | STANDARD PLATED BRASS     |      3 |          518
 Brand#32   | ECONOMY POLISHED TIN      |     27 |          518
 Brand#55   | STANDARD BRUSHED COPPER   |     27 |          518
 Brand#11   | ECONOMY PLATED TIN        |     27 |          516
 Brand#11   | STANDARD PLATED TIN       |     24 |          516
 Brand#13   | MEDIUM ANODIZED NICKEL    |     10 |          516
 Brand#13   | MEDIUM PLATED COPPER      |     15 |          516
 Brand#13   | MEDIUM PLATED STEEL       |      3 |          516
 Brand#13   | SMALL ANODIZED STEEL      |     10 |          516
 Brand#14   | MEDIUM POLISHED COPPER    |     24 |          516
 Brand#14   | STANDARD POLISHED NICKEL  |     27 |          516
 Brand#15   | ECONOMY BRUSHED TIN       |     27 |          516
 Brand#15   | LARGE BRUSHED STEEL       |     15 |          516
 Brand#15   | PROMO BRUSHED NICKEL      |     15 |          516
 Brand#15   | STANDARD BURNISHED NICKEL |     27 |          516
 Brand#21   | LARGE BURNISHED BRASS     |     27 |          516
 Brand#21   | STANDARD BRUSHED TIN      |     21 |          516
 Brand#22   | ECONOMY ANODIZED NICKEL   |     27 |          516
 Brand#22   | STANDARD PLATED TIN       |      3 |          516
 Brand#23   | LARGE PLATED NICKEL       |     24 |          516
 Brand#23   | STANDARD PLATED STEEL     |     21 |          516
 Brand#24   | MEDIUM POLISHED TIN       |     15 |          516
 Brand#24   | SMALL BURNISHED TIN       |     24 |          516
 Brand#24   | SMALL PLATED COPPER       |     21 |          516
 Brand#25   | ECONOMY BURNISHED BRASS   |     21 |          516
